id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@MrBeast","Go buy the new Feastables bar!","Ugwz5dFRCALXvw25pMZ4AaABAg","",135505,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg","2024-03-02 11:59:45",750,"Go buy the new Feastables bar!","http://www.youtube.com/@MrBeast",
2,"@Oweeen188","Goat","Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0UkahbfZgb","@MrBeast",1356,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0UkahbfZgb","2024-03-02 12:00:14",0,"Goat","http://www.youtube.com/@Oweeen188",
3,"@Dashzilla","YES","Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukb-6Nqa5","@MrBeast",932,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukb-6Nqa5","2024-03-02 12:00:17",0,"YES","http://www.youtube.com/@Dashzilla",
4,"@yakieboncookie","Maybe","Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukb-jOfep","@MrBeast",712,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukb-jOfep","2024-03-02 12:00:17",0,"Maybe","http://www.youtube.com/@yakieboncookie",
5,"@mapVNESE","Cool","Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0UkbfiaLWy","@MrBeast",485,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0UkbfiaLWy","2024-03-02 12:00:23",0,"Cool","http://www.youtube.com/@mapVNESE",
6,"@aguadeseaalex","When are Feastables coming to Mexico?","Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukbnted43","@MrBeast",596,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwz5dFRCALXvw25pMZ4AaABAg.A0UkY9ZHPYlA0Ukbnted43","2024-03-02 12:00:23",0,"When are Feastables coming to Mexico?","http://www.youtube.com/@aguadeseaalex",
7,"@rjisp7000","Mythpat\'s voice is love❤","UgzZEvLxW5f1N8zPID54AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzZEvLxW5f1N8zPID54AaABAg","2024-03-19 02:39:30",0,"Mythpat\'s voice is love❤","http://www.youtube.com/@rjisp7000",
8,"@xoniz2451","At 8:14 there is a shadow figure in the hallway","UgxtK4lG4DXKiAedBel4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxtK4lG4DXKiAedBel4AaABAg","2024-03-19 02:37:40",0,"At 8:14 there is a shadow figure in the hallway","http://www.youtube.com/@xoniz2451",
9,"@JboVR69","umm guys look at 8:15","UgwN7KGqLrKmtor9XHt4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwN7KGqLrKmtor9XHt4AaABAg","2024-03-19 02:36:20",0,"umm guys look at 8:15","http://www.youtube.com/@JboVR69",
10,"@Creators_YT00","My","Ugx6dot5vvkiYZyk5O14AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugx6dot5vvkiYZyk5O14AaABAg","2024-03-19 02:31:00",0,"My","http://www.youtube.com/@Creators_YT00",
11,"@kimberlynorrod6813","Mr beast da goat 🐐","UgzTISl_eErVw-7Q2Vt4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzTISl_eErVw-7Q2Vt4AaABAg","2024-03-19 02:30:32",0,"Mr beast da goat 🐐","http://www.youtube.com/@kimberlynorrod6813",
12,"@user-ze9nz3et1c","Bangla videos","UgwMfg76M5u367Og20V4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwMfg76M5u367Og20V4AaABAg","2024-03-19 02:30:14",0,"Bangla videos","http://www.youtube.com/@user-ze9nz3et1c",
13,"@vinodbhuyar300","Keep it up MYTHPAT , you are just PROOOOOOOOOOOOOOOOOO","Ugzw-ErbCUDvcNf1psp4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugzw-ErbCUDvcNf1psp4AaABAg","2024-03-19 02:29:48",0,"Keep it up MYTHPAT , you are just PROOOOOOOOOOOOOOOOOO","http://www.youtube.com/@vinodbhuyar300",
14,"@Aatmkhoj123","Ham Aisa kyon kr rhe hai - contant ke liye 😂","UgwuMuQkyPIeMabzLQd4AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwuMuQkyPIeMabzLQd4AaABAg","2024-03-19 02:29:42",0,"Ham Aisa kyon kr rhe hai - contant ke liye 😂","http://www.youtube.com/@Aatmkhoj123",
15,"@S4success433","Mythpat ❤❤❤","UgxvsvgsR8RLTcq1D3x4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxvsvgsR8RLTcq1D3x4AaABAg","2024-03-19 02:29:29",0,"Mythpat ❤❤❤","http://www.youtube.com/@S4success433",
16,"@fardeensartandcraft1942","Mythpat Bhaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","Ugz3yI3HofFok-MmBgh4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugz3yI3HofFok-MmBgh4AaABAg","2024-03-19 02:28:03",0,"Mythpat Bhaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","http://www.youtube.com/@fardeensartandcraft1942",
17,"@EVILPANDA4321","World best chocolate is feastable❤","Ugy-woxHJxGjmxeaqG94AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy-woxHJxGjmxeaqG94AaABAg","2024-03-19 02:26:43",0,"World best chocolate is feastable❤","http://www.youtube.com/@EVILPANDA4321",
18,"@TanmayGaming19","your abandoned citys indias best city😂😂😂","Ugxj0neO-JpRzNNGry54AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugxj0neO-JpRzNNGry54AaABAg","2024-03-19 02:25:41",0,"your abandoned citys indias best city😂😂😂","http://www.youtube.com/@TanmayGaming19",
19,"@rupvlgs","Mythpat ❤","Ugz6athsEPKwOPHKrSd4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugz6athsEPKwOPHKrSd4AaABAg","2024-03-19 02:22:32",0,"Mythpat ❤","http://www.youtube.com/@rupvlgs",
20,"@fardeensartandcraft1942","Mythpat","Ugw_rIvHKEVyap792ax4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugw_rIvHKEVyap792ax4AaABAg","2024-03-19 02:19:20",0,"Mythpat","http://www.youtube.com/@fardeensartandcraft1942",
21,"@user-fe3ut3kh3j","Mythpat bhaiiiiiiiii","UgxFEvxzn2Lhu3s6C1J4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxFEvxzn2Lhu3s6C1J4AaABAg","2024-03-19 02:18:40",0,"Mythpat bhaiiiiiiiii","http://www.youtube.com/@user-fe3ut3kh3j",
22,"@piyaraikwar1973","Congratulations Mythpat 🎉","UgzswWWncyEEbcQDVfZ4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzswWWncyEEbcQDVfZ4AaABAg","2024-03-19 02:18:08",0,"Congratulations Mythpat 🎉","http://www.youtube.com/@piyaraikwar1973",
23,"@user-xs3dt4rv9e","Kya aap muje aapke chenal me aek moka de sak te ho","UgyyO38Btcw_7J6qmEZ4AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgyyO38Btcw_7J6qmEZ4AaABAg","2024-03-19 02:15:51",0,"Kya aap muje aapke chenal me aek moka de sak te ho","http://www.youtube.com/@user-xs3dt4rv9e",
24,"@young8200","""Крис начал"" Джимми молодец","UgyilwYqxhJNH8a7TYd4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgyilwYqxhJNH8a7TYd4AaABAg","2024-03-19 02:13:09",0,"""Крис начал"" Джимми молодец","http://www.youtube.com/@young8200",
25,"@Dark_side_king21","Their was a man in the back on day three","UgwZ2xDZu9iVGNAJEpV4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwZ2xDZu9iVGNAJEpV4AaABAg","2024-03-19 02:10:45",0,"Their was a man in the back on day three","http://www.youtube.com/@Dark_side_king21",
26,"@TheBhaktivora","Mythpat Bhaiiiiii ke aage koi bol sakta hai kya eeeeeeeee Mythpat Bhai","Ugy7f4Rq5htrCV181f14AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy7f4Rq5htrCV181f14AaABAg","2024-03-19 02:10:43",0,"Mythpat Bhaiiiiii ke aage koi bol sakta hai kya eeeeeeeee Mythpat Bhai","http://www.youtube.com/@TheBhaktivora",
27,"@bossly8491","The figure standing in the back at 8:14 ….","Ugwe6bK5tXTw5jc43Bx4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwe6bK5tXTw5jc43Bx4AaABAg","2024-03-19 02:10:20",0,"The figure standing in the back at 8:14 ….","http://www.youtube.com/@bossly8491",
28,"@HinayParmar","Mythpat audience 🎉❤❤❤❤❤❤❤","UgxXYOYOIwp1oNiUQaN4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxXYOYOIwp1oNiUQaN4AaABAg","2024-03-19 02:08:52",0,"Mythpat audience 🎉❤❤❤❤❤❤❤","http://www.youtube.com/@HinayParmar",
29,"@Shonasnraj999","Wow super voice mythpat bro ❤","UgzyLZiGDMCtwITQUwd4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzyLZiGDMCtwITQUwd4AaABAg","2024-03-19 01:57:49",0,"Wow super voice mythpat bro ❤","http://www.youtube.com/@Shonasnraj999",
30,"@gamerom6449","Mythpat","Ugyr3YLhbU4CWDlSHvx4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugyr3YLhbU4CWDlSHvx4AaABAg","2024-03-19 01:54:26",0,"Mythpat","http://www.youtube.com/@gamerom6449",
31,"@user-gm5yt4bv2s","Go to 8:14 then zoom in the hallway and you will see somebody","UgydyoCoQB8-wa_HgSJ4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgydyoCoQB8-wa_HgSJ4AaABAg","2024-03-19 01:51:49",0,"Go to 8:14 then zoom in the hallway and you will see somebody","http://www.youtube.com/@user-gm5yt4bv2s",
32,"@samardhyani2028","Mythpat bhaiiiiiiioiiiiiiibcviiii","UgwmuUt-mfMwDvckATN4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwmuUt-mfMwDvckATN4AaABAg","2024-03-19 01:50:25",0,"Mythpat bhaiiiiiiioiiiiiiibcviiii","http://www.youtube.com/@samardhyani2028",
33,"@somohomo","Mythpat bhai","UgzcEowptXvkdBHHO8h4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzcEowptXvkdBHHO8h4AaABAg","2024-03-19 01:49:56",0,"Mythpat bhai","http://www.youtube.com/@somohomo",
34,"@somohomo","Mythpat bhai","Ugwb1VHNFX8Meij5bqx4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwb1VHNFX8Meij5bqx4AaABAg","2024-03-19 01:49:35",0,"Mythpat bhai","http://www.youtube.com/@somohomo",
35,"@somohomo","Mythpat bhai","UgxIOrEfZRqZgE-HeMl4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxIOrEfZRqZgE-HeMl4AaABAg","2024-03-19 01:49:22",0,"Mythpat bhai","http://www.youtube.com/@somohomo",
36,"@rajendrabhadu-it5ok","Mythpay bhaiiiiiii","Ugzdg39dGpcw3BJrD754AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugzdg39dGpcw3BJrD754AaABAg","2024-03-19 01:48:24",0,"Mythpay bhaiiiiiii","http://www.youtube.com/@rajendrabhadu-it5ok",
37,"@Satyammishraa833","Mythpatt..... ❤‍🔥❤","UgwBVkfHNiZNEb79QKF4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwBVkfHNiZNEb79QKF4AaABAg","2024-03-19 01:47:16",0,"Mythpatt..... ❤‍🔥❤","http://www.youtube.com/@Satyammishraa833",
38,"@Jisoo_is_Besties","Herkesmi Türkçe duyuyor?","UgxPJmkvC7lHzGBOvrV4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxPJmkvC7lHzGBOvrV4AaABAg","2024-03-19 01:39:58",0,"Herkesmi Türkçe duyuyor?","http://www.youtube.com/@Jisoo_is_Besties",
39,"@pclmoon","Mythpat","UgxZlPaN841NdB6BINt4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxZlPaN841NdB6BINt4AaABAg","2024-03-19 01:38:01",0,"Mythpat","http://www.youtube.com/@pclmoon",
40,"@kiranpatil9164","Mythpad bhiiiiiiiiii","UgxV-pYUssOPzwC_tiZ4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxV-pYUssOPzwC_tiZ4AaABAg","2024-03-19 01:37:53",0,"Mythpad bhiiiiiiiiii","http://www.youtube.com/@kiranpatil9164",
41,"@alamgirali9600","আমি বাংলা দেশ থেকে বলছি আমি আপনার বড় fan","Ugy68NFjdAKIpqrCKXF4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy68NFjdAKIpqrCKXF4AaABAg","2024-03-19 01:35:04",0,"আমি বাংলা দেশ থেকে বলছি আমি আপনার বড় fan","http://www.youtube.com/@alamgirali9600",
42,"@user-nz4fe2yq5o","Mythpat","UgwwykWHZC_MzTd5pZB4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwwykWHZC_MzTd5pZB4AaABAg","2024-03-19 01:32:46",0,"Mythpat","http://www.youtube.com/@user-nz4fe2yq5o",
43,"@danielbowers6141","Who is standing in the doorway at 8:14?","UgwtIE7kjIota23en3N4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwtIE7kjIota23en3N4AaABAg","2024-03-19 01:31:38",0,"Who is standing in the doorway at 8:14?","http://www.youtube.com/@danielbowers6141",
44,"@brenthatchel1364","so we just forgetting about the other guy on the island?","UgwXN9VFqo00Gmcl6r94AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwXN9VFqo00Gmcl6r94AaABAg","2024-03-19 01:28:24",0,"so we just forgetting about the other guy on the island?","http://www.youtube.com/@brenthatchel1364",
45,"@troot481","Mythpat bhaiiii🎉❤🎉","Ugwi0zuqEga1oFRo7ih4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwi0zuqEga1oFRo7ih4AaABAg","2024-03-19 01:27:47",0,"Mythpat bhaiiii🎉❤🎉","http://www.youtube.com/@troot481",
46,"@ArryNation","MYTHPAT BHAIIII","UgwVT-BQUcfJ0PKJwLZ4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgwVT-BQUcfJ0PKJwLZ4AaABAg","2024-03-19 01:23:23",0,"MYTHPAT BHAIIII","http://www.youtube.com/@ArryNation",
47,"@priyankapriya8615","Mythpat audience ❤❤","UgyTbuHyCpwzfDizXSd4AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgyTbuHyCpwzfDizXSd4AaABAg","2024-03-19 01:22:50",0,"Mythpat audience ❤❤","http://www.youtube.com/@priyankapriya8615",
48,"@LYNX_FIFA","Mythpat Bhaiiiiiii !!!!!❤🔥","Ugwp1vRu1l1l3CJf6ld4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugwp1vRu1l1l3CJf6ld4AaABAg","2024-03-19 01:22:35",0,"Mythpat Bhaiiiiiii !!!!!❤🔥","http://www.youtube.com/@LYNX_FIFA",
49,"@shubham.tips.ss09","op mythpat","Ugyub79Ou-bo1x97qwd4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugyub79Ou-bo1x97qwd4AaABAg","2024-03-19 01:21:14",0,"op mythpat","http://www.youtube.com/@shubham.tips.ss09",
50,"@user-oh1zl2jr6f","At 8:14 if you look closely at the back there appears to be someone there","UgzURv4dGBH_dkCAZYV4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgzURv4dGBH_dkCAZYV4AaABAg","2024-03-19 01:20:52",0,"At 8:14 if you look closely at the back there appears to be someone there","http://www.youtube.com/@user-oh1zl2jr6f",
51,"@VedPrakash-jb2ri","Mythpat is best","Ugy5QBRJG46vjhSzLZh4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy5QBRJG46vjhSzLZh4AaABAg","2024-03-19 01:18:44",1,"Mythpat is best","http://www.youtube.com/@VedPrakash-jb2ri",
52,"@keerthanshetty7259","Mythpat Bhai 😂","Ugy5QBRJG46vjhSzLZh4AaABAg.A19GpX3fhEpA19Hqez7BkD","@VedPrakash-jb2ri",2,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy5QBRJG46vjhSzLZh4AaABAg.A19GpX3fhEpA19Hqez7BkD","2024-03-19 01:27:37",0,"Mythpat Bhai 😂","http://www.youtube.com/@keerthanshetty7259",
53,"@GAURAVDUHAN-sc2rw","op op op op op op","Ugx20mRGSNJR3zk3nDV4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugx20mRGSNJR3zk3nDV4AaABAg","2024-03-19 01:13:22",0,"op op op op op op","http://www.youtube.com/@GAURAVDUHAN-sc2rw",
54,"@ShadowGaming-zf3kw","Mythpat voice is best","UgyfYK9jP-0oCeWoxxh4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgyfYK9jP-0oCeWoxxh4AaABAg","2024-03-19 01:11:24",0,"Mythpat voice is best","http://www.youtube.com/@ShadowGaming-zf3kw",
55,"@FazVr99","On day 3 there was a random figure behind u guys","Ugym7ULxPYeF0dOp71x4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugym7ULxPYeF0dOp71x4AaABAg","2024-03-19 01:09:56",0,"On day 3 there was a random figure behind u guys","http://www.youtube.com/@FazVr99",
56,"@purnimaparida6565","Mythpat bhaiiiiiii!!!","UgyXT9D0UeEgkxZDFRB4AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgyXT9D0UeEgkxZDFRB4AaABAg","2024-03-19 01:08:35",0,"Mythpat bhaiiiiiii!!!","http://www.youtube.com/@purnimaparida6565",
57,"@Ar_leon_razno","Имба","UgxvoNvBabCLT3vWjPd4AaABAg","",0,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxvoNvBabCLT3vWjPd4AaABAg","2024-03-19 01:06:26",0,"Имба","http://www.youtube.com/@Ar_leon_razno",
58,"@user-tp5pp6bf2i","Gave me some money brother 🥺","Ugy5SGdFzwneUG3u8nh4AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=Ugy5SGdFzwneUG3u8nh4AaABAg","2024-03-19 01:05:18",0,"Gave me some money brother 🥺","http://www.youtube.com/@user-tp5pp6bf2i",
59,"@user-tp5pp6bf2i","Gave me some money brother 🥺","UgxE9_ordswA8mdnPy54AaABAg","",1,"https://www.youtube.com/watch?v=tWYsfOSY9vY&lc=UgxE9_ordswA8mdnPy54AaABAg","2024-03-19 01:04:59",0,"Gave me some money brother 🥺","http://www.youtube.com/@user-tp5pp6bf2i",
