id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@MG-fg5hs","The movie was literally a cash grab. As if it was a long trailer, that’s it. Rip off. We were sssooo dissatisfied 😢","UgwZpFRptXt1P386Ye94AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgwZpFRptXt1P386Ye94AaABAg","2024-03-20 19:08:47",0,"The movie was literally a cash grab. As if it was a long trailer, that’s it. Rip off. We were sssooo dissatisfied 😢","http://www.youtube.com/@MG-fg5hs",
2,"@Katia25","I want to share with you the truth and life. All have sinned and fallen short of the glory of God (Romans 3:23). God loves you. But God is holy and the punishment for sin is death. For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord (Romans 6:23). Jesus Christ is the Way, the Truth and the Life (John 14:6). God loves us, that\'s why He sent His son into this world (John 3:16). Jesus died on the cross and rose again on the third day for everyone. Repent, believe in Jesus as Lord and Saviour and follow Him.","Ugx5HzTOxqTHneSVrGd4AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=Ugx5HzTOxqTHneSVrGd4AaABAg","2024-03-20 19:03:07",0,"I want to share with you the truth and life. All have sinned and fallen short of the glory of God (Romans 3:23). God loves you. But God is holy and the punishment for sin is death. For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord (Romans 6:23). Jesus Christ is the Way, the Truth and the Life (John 14:6). God loves us, that\'s why He sent His son into this world (John 3:16). Jesus died on the cross and rose again on the third day for everyone. Repent, believe in Jesus as Lord and Saviour and follow Him.","http://www.youtube.com/@Katia25",
3,"@aguy7863","This gon be a snooze fest😴😪","UgyJU0TSCKYNNJ75B5l4AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgyJU0TSCKYNNJ75B5l4AaABAg","2024-03-20 18:39:05",0,"This gon be a snooze fest😴😪","http://www.youtube.com/@aguy7863",
4,"@ilysm-","does anything happen in this arc or is it filler?","UgyoTmTdMfXHjRxvw8F4AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgyoTmTdMfXHjRxvw8F4AaABAg","2024-03-20 16:37:20",1,"does anything happen in this arc or is it filler?","http://www.youtube.com/@ilysm-",
5,"@hazardEXE27","1) All hashira will be training 2)Muzan came for Nezuko 3) Kagaya (master/oyakata sama) blast his mansion so that muzan dies with him and his(master) family... 4)Hashira and slayers went after muzan.. 5) Infinity castle is summoned and final fight begins...","UgyoTmTdMfXHjRxvw8F4AaABAg.A1DUkRgDK-pA1EPRggA5Vs","@ilysm-",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgyoTmTdMfXHjRxvw8F4AaABAg.A1DUkRgDK-pA1EPRggA5Vs","2024-03-21 01:10:11",0,"1) All hashira will be training 2)Muzan came for Nezuko 3) Kagaya (master/oyakata sama) blast his mansion so that muzan dies with him and his(master) family... 4)Hashira and slayers went after muzan.. 5) Infinity castle is summoned and final fight begins...","http://www.youtube.com/@hazardEXE27",
6,"@negatale7061","Please erase this shit from the whole word","UgztKwunB1P6npj1hbp4AaABAg","",2,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgztKwunB1P6npj1hbp4AaABAg","2024-03-20 14:53:28",0,"Please erase this shit from the whole word","http://www.youtube.com/@negatale7061",
7,"@-huynguyen-","hi","Ugx7D8TKnF8iVTaEC954AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=Ugx7D8TKnF8iVTaEC954AaABAg","2024-03-20 12:06:21",0,"hi","http://www.youtube.com/@-huynguyen-",
8,"@broxie4082","Damn, Tanjiro is buff as fuck","UgxRxTwAQUS2BjAoFMx4AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgxRxTwAQUS2BjAoFMx4AaABAg","2024-03-20 10:23:26",0,"Damn, Tanjiro is buff as fuck","http://www.youtube.com/@broxie4082",
9,"@user-ue3sx4fj7k","AYOOOOO❤❤❤❤","Ugxgtrmacr2yfQp8ic94AaABAg","",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=Ugxgtrmacr2yfQp8ic94AaABAg","2024-03-20 09:41:39",0,"AYOOOOO❤❤❤❤","http://www.youtube.com/@user-ue3sx4fj7k",
10,"@vishal2.0yt80","Who is waiting for season 4??❤","UgxjuVVmnL-ShAEuP9t4AaABAg","",1,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgxjuVVmnL-ShAEuP9t4AaABAg","2024-03-20 08:31:31",1,"Who is waiting for season 4??❤","http://www.youtube.com/@vishal2.0yt80",
11,"@hazardEXE27","but everybody is waiting for season 5","UgxjuVVmnL-ShAEuP9t4AaABAg.A1Cc9Bhu5AIA1EPW1Eyr2m","@vishal2.0yt80",0,"https://www.youtube.com/watch?v=7w5Vfjozzb8&lc=UgxjuVVmnL-ShAEuP9t4AaABAg.A1Cc9Bhu5AIA1EPW1Eyr2m","2024-03-21 01:10:46",0,"but everybody is waiting for season 5","http://www.youtube.com/@hazardEXE27",
