id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
1,@eminasal6350,"WE RE DESTROYING OUR EX,S WITH THIS ONE🔥",Ugznivvk7OgoicycOjF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugznivvk7OgoicycOjF4AaABAg,19-03-2024 10:04,0,"WE RE DESTROYING OUR EX,S WITH THIS ONE🔥",http://www.youtube.com/@eminasal6350
2,@eveubartaite2329,Whos watching this in,Ugz_IkNvDUQCfr3cRep4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugz_IkNvDUQCfr3cRep4AaABAg,19-03-2024 10:01,0,Whos watching this in,http://www.youtube.com/@eveubartaite2329
3,@emilyrivas9941,Loved the song and at the end ❤️💀,Ugyo1gXPKSQemTU8-XJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugyo1gXPKSQemTU8-XJ4AaABAg,19-03-2024 09:57,0,Loved the song and at the end ❤️💀,http://www.youtube.com/@emilyrivas9941
4,@poopi6055,"clarencio, lo se que estas ai en alhum lugar...😕",UgwoZh9jdNiKTNqPXMd4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwoZh9jdNiKTNqPXMd4AaABAg,19-03-2024 09:56,0,"clarencio, lo se que estas ai en alhum lugar...😕",http://www.youtube.com/@poopi6055
5,@poopi6055,"donde pensan que van, muchachos (chachos) (chachos)........",UgzJLEOIhZBlpIG6j1p4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzJLEOIhZBlpIG6j1p4AaABAg,19-03-2024 09:56,0,"donde pensan que van, muchachos (chachos) (chachos)........",http://www.youtube.com/@poopi6055
6,@poopi6055,😳😵😵😵💫💫😐,UgyQ36AIeodJ22xcZml4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyQ36AIeodJ22xcZml4AaABAg,19-03-2024 09:56,0,😳😵😵😵💫💫😐,http://www.youtube.com/@poopi6055
7,@poopi6055,hola muchachos! vamonos a toma helados?,Ugwoc40ThuDh5Rv7e2h4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugwoc40ThuDh5Rv7e2h4AaABAg,19-03-2024 09:55,0,hola muchachos! vamonos a toma helados?,http://www.youtube.com/@poopi6055
8,@poopi6055,esto significa que---,Ugz57GljdW3so77DfbJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugz57GljdW3so77DfbJ4AaABAg,19-03-2024 09:55,0,esto significa que---,http://www.youtube.com/@poopi6055
9,@poopi6055,los fluídos corporales de clarencio...,UgyWp6wbTOyZPQm0po94AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyWp6wbTOyZPQm0po94AaABAg,19-03-2024 09:54,0,los fluídos corporales de clarencio...,http://www.youtube.com/@poopi6055
10,@poopi6055,"hueles algo, sumo?",UgyN27MmQg_FZwZVsTx4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyN27MmQg_FZwZVsTx4AaABAg,19-03-2024 09:54,0,"hueles algo, sumo?",http://www.youtube.com/@poopi6055
11,@poopi6055,"ahora, vamonos al objetivo.✊🏏",UgzeE0T6JnedR0ZbA0R4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzeE0T6JnedR0ZbA0R4AaABAg,19-03-2024 09:54,0,"ahora, vamonos al objetivo.✊🏏",http://www.youtube.com/@poopi6055
12,@poopi6055,sumo! lo lograste! rompiste las cadenas!!!,UgwQZCW-w0xM_koN6Tt4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwQZCW-w0xM_koN6Tt4AaABAg,19-03-2024 09:53,0,sumo! lo lograste! rompiste las cadenas!!!,http://www.youtube.com/@poopi6055
13,@poopi6055,💥💥💥💥⛓️⛓️⛓️⛓️⛓️😡😡😡😡🥵🥵🥵🥵🥵🥵🤪🤪🤪🤪🤪🤪🤬🤬🤬🤬😤😤😤🙄🙄🙄😒😒🤯🤯🤯🤯🤯⛓️⛓️⛓️😋💥💥💥💥,Ugy-O69P_or5_vJKHjN4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugy-O69P_or5_vJKHjN4AaABAg,19-03-2024 09:53,0,💥💥💥💥⛓️⛓️⛓️⛓️⛓️😡😡😡😡🥵🥵🥵🥵🥵🥵🤪🤪🤪🤪🤪🤪🤬🤬🤬🤬😤😤😤🙄🙄🙄😒😒🤯🤯🤯🤯🤯⛓️⛓️⛓️😋💥💥💥💥,http://www.youtube.com/@poopi6055
14,@poopi6055,apuesto que até mismo yo puedo hacier esto...😌,UgxuvWDe9LylX_QxoeF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxuvWDe9LylX_QxoeF4AaABAg,19-03-2024 09:52,0,apuesto que até mismo yo puedo hacier esto...😌,http://www.youtube.com/@poopi6055
15,@poopi6055,entonces no puedes romper-las?.. 😏,UgzjnisifLJX8hxLOfl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzjnisifLJX8hxLOfl4AaABAg,19-03-2024 09:52,0,entonces no puedes romper-las?.. 😏,http://www.youtube.com/@poopi6055
16,@poopi6055,🤔...😮💡,Ugz_vjY-6SFsoosojpF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugz_vjY-6SFsoosojpF4AaABAg,19-03-2024 09:52,0,🤔...😮💡,http://www.youtube.com/@poopi6055
17,@poopi6055,creo que no...,UgxcjRuU3QVxQ5X7qUx4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxcjRuU3QVxQ5X7qUx4AaABAg,19-03-2024 09:51,0,creo que no...,http://www.youtube.com/@poopi6055
18,@poopi6055,no puedes romper las cadenas?,UgwX8zAcEH9xY1090f14AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwX8zAcEH9xY1090f14AaABAg,19-03-2024 09:51,0,no puedes romper las cadenas?,http://www.youtube.com/@poopi6055
19,@poopi6055,"pero que ideia tienes, genio?",Ugzcg3NbUIKCHuZuPCl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzcg3NbUIKCHuZuPCl4AaABAg,19-03-2024 09:51,0,"pero que ideia tienes, genio?",http://www.youtube.com/@poopi6055
20,@poopi6055,lo se lo se...,UgwZKFpiYPOZK82O6pp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwZKFpiYPOZK82O6pp4AaABAg,19-03-2024 09:51,0,lo se lo se...,http://www.youtube.com/@poopi6055
21,@poopi6055,"sumo, necessitaamos escapar!",UgzIbdYuQnnCDaMH-eJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzIbdYuQnnCDaMH-eJ4AaABAg,19-03-2024 09:51,0,"sumo, necessitaamos escapar!",http://www.youtube.com/@poopi6055
22,@poopi6055,despues...,Ugx5KzxvFyV3pne6AIN4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugx5KzxvFyV3pne6AIN4AaABAg,19-03-2024 09:50,0,despues...,http://www.youtube.com/@poopi6055
23,@poopi6055,no tan rapido...,UgxDt3PLnR0Pf0rhqkl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxDt3PLnR0Pf0rhqkl4AaABAg,19-03-2024 09:50,0,no tan rapido...,http://www.youtube.com/@poopi6055
24,@poopi6055,clarencio!!!,UgwlAQPGDsS9PeFA9i94AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwlAQPGDsS9PeFA9i94AaABAg,19-03-2024 09:50,0,clarencio!!!,http://www.youtube.com/@poopi6055
25,@poopi6055,muchachos? estan aí?,UgyAjEf0a5uM9DwfTFZ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyAjEf0a5uM9DwfTFZ4AaABAg,19-03-2024 09:50,0,muchachos? estan aí?,http://www.youtube.com/@poopi6055
26,@poopi6055,"yea yea callate nerd,😎",UgzqVXWMHJ3bamRnYvJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzqVXWMHJ3bamRnYvJ4AaABAg,19-03-2024 09:49,0,"yea yea callate nerd,😎",http://www.youtube.com/@poopi6055
27,@BelleBerner,I LOVE TAYLOR SWIFT!,UgyeWDkTuxYnJYasBjZ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyeWDkTuxYnJYasBjZ4AaABAg,19-03-2024 09:49,0,I LOVE TAYLOR SWIFT!,http://www.youtube.com/@BelleBerner
